variant,space,outlier_cont,alg,k,n_core,sil,dbi,ch,ARI_vs_quality,NMI_vs_quality,AMI_vs_quality,stab_seed_ARI,stab_subsample_ARI,min_cluster_size
all,PCA,0.0,kmeans,10,384,0.14231847151493437,1.7584862876472815,46.998157344032265,0.07911972291963382,0.06976161672647364,0.05214568312078369,0.428975650128923,0.40424139541702653,8
all,PCA,0.0,ward,2,384,0.2598463188663907,1.5648822047853008,127.56507131976923,0.08546316456087233,0.051309932207641594,0.04776241205976669,,,151
all,PCA,0.0,ward,3,384,0.25620027176770904,1.7315538446372916,83.4650298404594,0.09132146534441966,0.054625947408886606,0.048102128144886146,,,25
all,PCA,0.0,ward,4,384,0.24318041883432104,1.7146423074027914,68.5749115541754,0.11054254474070561,0.06190359383705697,0.052895717320713576,,,23
all,PCA,0.0,ward,5,384,0.17962895499969425,1.8601352384193717,59.4775551330342,0.08132565055222245,0.055114802890200335,0.04444790411935328,,,23
all,PCA,0.0,ward,6,384,0.14898499004616014,1.9693858336489207,54.51997805626199,0.08915559869358193,0.05287756732687053,0.040671223383290246,,,23
all,PCA,0.0,ward,7,384,0.15875772726513346,1.800689366043969,50.70905257574811,0.08958508724979408,0.05307672193119194,0.03860087941315179,,,8
all,PCA,0.0,ward,8,384,0.15380904573815887,1.7077542709426918,48.12239048481825,0.09377296781657,0.05107481896909597,0.03475100115132215,,,8
all,PCA,0.0,ward,9,384,0.14903540325159728,1.6742280439787296,46.036174336687324,0.059731216371023244,0.060610346397577265,0.04309330081487583,,,8
all,PCA,0.0,ward,10,384,0.11365359582260263,1.7846304262563464,44.3605781616646,0.04207001225446584,0.05983106702006688,0.042004149349469146,,,8
all,PCA,0.05,kmeans,2,364,0.2720379631217017,1.4982019622758993,136.6432566401044,0.08509078466044129,0.04978428296509886,0.04599540564175688,0.9941621429592629,0.9932260161379811,143
all,PCA,0.05,kmeans,3,364,0.21725620405180818,1.8188140854142236,90.53441686297418,0.09066585123552913,0.03758393348882644,0.03091255773721936,0.6549615147410311,0.6500610877383297,62
all,PCA,0.05,kmeans,4,364,0.18069753523305157,2.0146301697621585,76.89952853660475,0.09411725878128743,0.049748718818428114,0.041463167554724165,0.6198866365970354,0.5556122550014626,55
all,PCA,0.05,kmeans,5,364,0.13485102566518595,2.01419899490913,65.75104539181822,0.02713219752544587,0.034440898627676644,0.02451378349339311,0.4834186435212372,0.44718623243385697,47
all,PCA,0.05,kmeans,6,364,0.12044787598352925,2.0389586257461545,57.998872897333285,0.04172084951001688,0.04618460769364434,0.03450143230945389,0.4772014856137128,0.45355436587834674,41
all,PCA,0.05,kmeans,7,364,0.1363509992783272,1.8339826479070946,53.94063394954535,0.03829437769366566,0.04703134114575471,0.033271655320844036,0.47444104708392226,0.4589804501632731,9
all,PCA,0.05,kmeans,8,364,0.1162766348571977,1.8628319921057361,51.06886297440553,0.03610431723578152,0.06111365934537805,0.04633108341136711,0.4607244020942337,0.46758044898322854,6
all,PCA,0.05,kmeans,9,364,0.12143382153077155,1.7615581931100812,48.49703577625464,0.04184436753926617,0.0670755672154015,0.05084212964494128,0.4772033177625273,0.4577480665048507,6
